parent_lemma;parent_variant;parent_pos;parent_comment;child_lemma;child_variant;child_pos;child_comment
abakanka;1;2;##K: og. ##D: mieszkanka Abakanu.;abakańczyk;1;2;##K: og. ##D: mieszkaniec Abakanu.
Abchazka;1;2;##K: og. ##D: mieszkanka Abchazji, kobieta pochodzenia abchaskiego. [##W: Matka była z pochodzenia Abchazką, a zarazem siostrą bądź kuzynką paszy Meleka Ahmeda, wielkiego wezyra w latach 1650–1651.];Abchaz;1;2;##K: og. ##D: mieszkaniec Abchazji, człowiek pochodzenia abchaskiego.
abderytka;1;2;##K: książk. ##D: mieszkanka starożytnej Abdery.;abderyta;2;2;##K: książk. ##D: mieszkaniec starożytnej Abdery.
abderytka;2;2;##K: książk. ##D: kobieta tępa, ograniczona umysłowo, ciemniaczka, prostaczka. [##P: Ona ma twarz pulardy, tępa abderytka...] [##P: Już ja wiem, jakie bzdury ta abderytka ciągle wypisuje na swoim profilu.];abderyta;1;2;"##K: książk. ##D: człowiek ograniczony umysłowo, tępak, kiep. [##P: Pomimo że Abdera wydała tak znanych mędrców jak: Protagoras, Demokryt czy Anaksarchos, określenie ""abderyta"" przetrwało do współczesności jako synonim głupca i prostaka.] {##L: } ##A1: {złość, wstręt, nieużyteczność, niewiedza, błąd} - m [Takie bzdury musiał napisać jakiś abderyta.] ##A2: {złość, wstręt, nieużyteczność, niewiedza, błąd} - m [Nie widzisz, że ten Twój książę z bajki to abderyta?]"
Abisynka;1;2;##K: og. ##D: mieszkanka Abisynii, kobieta pochodzenia abisyńskiego.;Abisyńczyk;1;2;##K: książk. ##D: mieszkaniec Abisynii, człowiek pochodzenia abisyńskiego (etiopskiego)
abiturientka;1;2;##K:  ##D: . [##P: ] {##L: };abiturient;1;2;##K:  ##D: . [##P: ] {##L: }
abnegatka;1;2;##K: książk. ##D: kobieta lub dziewczyna, która coś zaniedbuje, np. celowo nie dba o czystość, zwłaszcza o własny wygląd, celowo się czymś nie interesuje, np. nie pilnuje swojego majątku, nie dba o korzyści.;abnegat;1;2;##K: książk. ##D: człowiek, który coś zaniedbuje, np. celowo nie dba o czystość, zwłaszcza o własny wygląd, celowo się czymś nie interesuje, np. nie pilnuje swojego majątku, nie dba o korzyści. [##P: Był to dziwak i abnegat, można rzec - typowy profesor.] [##P: Nie będę się codziennie golił, zostanę abnegatem.] [##P: Ten człowiek to kalkulujący na zimno fanatyk i życiowy abnegat, a więc człowiek o najbardziej niebezpiecznej mieszance cech.] [##P: Czasem myślę, że ci nasi menele są abnegatami i oni celowo nie dbają o higienę, budując wokół siebie zapachową barierę ochronną, zapewniającą nietykalność osobistą, która jednocześnie pozwala im wyrazić siebie, stosunek do świata, zaznaczyć obecność.] [##P: Nawet kompletny abnegat muzyczny zna ten zespół.] ##A1: {smutek, złość, wstręt, nieużyteczność} - m [Ze zgryzoty stał się abnegatem, przestał o siebie dbać, zupełnie się zapuścił.] ##A2: {złość, wstręt, nieużyteczność, błąd} - m [Nie chcesz być kształcony przez niedouczonego abnegata.]
abolicjonistka;1;2;##K: specj. ##D: zwolenniczka lub uczestniczka ruchu na rzecz równouprawnienia i zniesienia niewolnictwa Murzynów.;abolicjonista;2;2;##K: specj. ##D: człowiek, który jest za zniesieniem jakiegoś prawa.
abolicjonistka;2;2;##K: specj. ##D: kobieta, która opowiada się za zniesieniem jakiegoś prawa.;abolicjonista;1;2;##K: specj. ##D: zwolennik lub uczestnik ruchu na rzecz równouprawnienia i zniesienia niewolnictwa Murzynów.
abonentka;1;2;##K:  ##D: . [##P: ] {##L: };abonent;1;2;##K:  ##D: . [##P: ] {##L: }
aborcjonistka;1;2;##K: og. ##D: zwolenniczka prawa do aborcji. [##P: Papież Franciszek zaskoczył po raz kolejny, zapraszając do siebie znaną włoską aborcjonistkę Emmę Bonino.];aborcjonista;1;2;##K: og. ##D: zwolennik prawa do przerywania ciąży. [##P: Z aborcjonisty zmienił się w działacza ruchu pro-life.]
aborcjonistka;2;2;##K: og. ##D: kobieta (często: lekarka), która przeprowadza aborcję. ;aborcjonista;2;2;##K: og. ##D: osoba (często: lekarz), która przeprowadza aborcję. [##W: Jest też lekarz, pokątny aborcjonista i jego niemy syn, sterana życiem kobieta z gromadką dzieci bita regularnie przez męża, stary mężczyzna, który ukrywa w mieszkaniu ciało zmarłej żony dla wyłudzenia emerytury.]
aborterka;1;2;##K: og. ##D: kobieta (często: lekarka), która przeprowadza aborcję. ;aborter;1;2;##K: og. ##D: osoba (często: lekarz), ktora przeprowadza aborcję.
Aborygenka;1;2;##K: og. ##D: rdzenna mieszkanka Australii.;Aborygen;1;2;##K: og. ##D: rdzenny mieszkaniec Australii. ##A1: 0
absolwentka;1;2;##K: og. ##D: kobieta - absolwent, osoba po ukończeniu jakiegoś stopnia edukacji. [##P: ] {##L: };absolwent;1;2;##K:  ##D: . [##P: ] {##L: }
abstrakcjonistka;1;2;##K: książk. ##D: artystka.;abstrakcjonista;1;2;##K: og. ##D: artysta dążący do wyzwolenia się od tematu, odejścia od rzeczywistości, rezygnacji z naśladowania natury, szukający nowych form i kształtów. [##P: ] {##L: } ##A1: 0 ##A2: 0
abstynentka;1;2;##K:  ##D: . [##P: ] {##L: };abstynent;1;2;##K:  ##D: . [##P: ] {##L: }
Achajka;1;2;##K: og. ##D: mieszkanka Achai, krainy historycznej w Grecji.;Achaj;1;2;##K: og. ##D: mieszkaniec Achai, krainy historycznej w Grecji.
Achajka;3;2;##K: og. ##D: członkini plemienia Achajów - przedstawicieli cywilizacji mykeńskiej.;Achaj;2;2;##K: og. ##D: członek plemienia Achajów - przedstawicieli cywilizacji mykeńskiej.
adaptatorka;1;2;##K:  ##D: . [##P: ] {##L: };adaptator;1;2;##K:  ##D: . [##P: ] {##L: }
adeptka;2;2;##K: książk. ##D: zwolenniczka danego poglądu. [##P: Była gorliwą adeptką feminizmu i tolerancji dla mniejszości seksualnych.] {##L: };adept;1;2;##K:  ##D: . [##P: ] {##L: }
adeptka;1;2;##K: og. ##D: uczennica, która kształci się w danym kierunku. [##P: Pucca to adeptka kung-fu i posiadaczka tajemnych mocy ninja (prawdopodobnie wrodzonych) oraz twórczyni stylu tańca.];adept;2;2;##K: og. ##D: uczeń, który się kształci w danym kierunku. [##P: Jogin to w hinduizmie i buddyzmie męski adept systemu rozwoju duchowego.]
adherentka;1;2;##K:  ##D: . [##P: ] {##L: };adherent;1;2;##K:  ##D: . [##P: ] {##L: }
adiustatorka;1;2;##K:  ##D: . [##P: ] {##L: };adiustator;1;2;##K:  ##D: . [##P: ] {##L: }
adiutantka;1;2;##K:  ##D: . [##P: ] {##L: };adiutant;1;2;##K: og. ##D:  żołnierz pomocniczy (w stopniu oficerskim - zwykle podporucznik lub porucznik) asystujący najwyższym oficerom. [##Prus: Swój liczny dwór, książęcy namiot, wozy i lektyki zostawił on w Memfis, a sam w odzieży prostego oficera jeździł od pułku do pułku, konno, na sposób asyryjski, w towarzystwie dwu adiutantów.] {##L: http://pl.wikipedia.org/wiki/Adiutant}
administratorka;1;2;##K:  ##D: . [##P: ] {##L: };administrator;1;2;##K: og. ##D: zarządca, ten, kto administruje, zarządza czymś. [##P: ] {##L: }
admiratorka;1;2;##K:  ##D: . [##P: ] {##L: };admirator;1;2;##K:  ##D: . [##P: ] {##L: }
adoratorka;1;2;##K:  ##D: . [##P: ] {##L: };adorator;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: {radość, złość, szczęście, błąd} amb [Jola była piękną kobietą i miała wielu adoratorów.] [Mój adorator był bardzo namolny.] ##A2: {radość, cieszenie się na, złość, wstręt, dobro, szczęście, nieużyteczność, błąd, nieszczęście} amb [Franciszek był wytrwałym adoratorem Małgorzaty, na każdym kroku prawił jej komplementy.] [Aktorka, nawet w rezydencji prywatnej, nie mogła się opędzić od adoratorów i innych obłąkanych fanów, którzy grozili jej rodzinie.]
adresatka;1;2;##K: og. ##D: odbiorczyni komunikatu.;adresat;1;2;##K: og. ##D: odbiorca komunikatu.
adresatka;2;2;##K: og. ##D: kobieta, do której zaadresowano przesyłkę pocztową.;adresat;2;2;##K: og. ##D: osoba, do której zaadresowano przesyłkę, list lub kartkę. {##L: http://pl.wikipedia.org/wiki/Adresat}
adwentystka;1;2;##K: og. ##D: wyznawczyni adwentyzmu - protestanckiego odłamu chrześcijaństwa. [##P: ] {##L: };adwentysta;1;2;##K: og. ##D: wyznawca adwentyzmu - odłamu chrześcijaństwa wywodzącego od się lub nawiązującego do XIX-wiecznego amerykańskiego przebudzenia eschatologiczno-mesjanistycznego w łonie ewangelikalizmu, któremu przewodził William Miller. [##W: Adwentyści wierzyli w jedynego Boga Ojca i w Jego Syna, Jezusa Chrystusa, który będąc rzeczywistym Synem Boga zachowywał również pełną boskość] {##L: }
adwersarka;1;2;##K:  ##D: . [##P: ] {##L: };adwersarz;1;2;##K:  ##D: . [##P: ] {##L: }
adwokatka;1;2;##K:  ##D: . [##P: ] {##L: };adwokat;1;2;##K: og. ##D: prawnik świadczący pomoc prawną w szczególności polegającą na udzielaniu porad prawnych, sporządzaniu opinii prawnych, opracowywaniu projektów aktów prawnych oraz występowaniu przed sądami i urzędami. [##P: Wszyscy myśleli, że Patryk pójdzie w ślady ojca i zostanie adwokatem, ale on po studiach wybrał aplikację radcowską.] {##L: https://pl.wikipedia.org/wiki/Adwokat} ##A1: 0 ##A2: 0
Adygejka;1;2;;Adygejczyk;1;2;##K: og. ##D: mieszkaniec Adygei, osoba pochodząca z Adygei, mówiąca językiem adygejskim.
Adżarka;1;2;##K: og. ##D: mieszkanka Adżarii, kobieta pochodzenia adżarskiego.;Adżar;1;2;##K: og. ##D: mieszkaniec Adżarii, człowiek pochodzenia adżarskiego.
aeronautka;1;2;##K:  ##D: . [##P: ] {##L: };aeronauta;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
aferałka;1;2;##K: pot. ##D: kobieta zamieszana w co najmniej jedną aferę.;aferał;1;2;##K: pot. ##D: człowiek zamieszany w co najmniej jedną aferę. [##P: Powiedzieć, że to aferał, to za mało, dla mnie to pospolity złodziej.]
aferzystka;3;2;##K: og. ##D: kobieta, która wywołuje skandale i afery w celu uzyskania rozgłosu.;aferzysta;2;2;##K: og. ##D: osoba, która wywołuje skandale i afery w celu uzyskania rozgłosu. ##A1: {złość, wstręt, nieużyteczność, krzywda, błąd} - s [Nic nie umie, na niczym się nie zna, nic sobą nie reprezentuje - pozostało mu zostać aferzystą i być znanym z tego, że jest znany.] ##A2: {złość, krzywda, błąd} - s [Ten aferzysta cały czas przykuwa uwagę tabloidów swoimi wybrykami.]
aferzystka;1;2;##K: og. ##D: kryminalistka zamieszana w jakąś aferę.;aferzysta;1;2;##K: og. ##D: przestępca zamieszany w jakąś aferę. [##Kol: aferzysta gospodarczy] ##A1: {złość, wstręt, nieużyteczność, krzywda, błąd, nieszczęście} - m [Myślę, że aferzysta w sztabie wyborczym może zepsuć wizerunek naszego kandydata.] ##A2: {złość, wstręt, krzywda, nieszczęście} - m [Taki aferzysta musi pożeganać się ze swoją posadą i przemyśleć swoje postępowanie w więzieniu.]
aferzystka;2;2;##K: og. ##D: kobieta nastawiona na poszukiwanie sensacji i afer.;aferzysta;3;2;##K: og. ##D: osoba nastawiona na poszukiwanie sensacji i afer. ##A1: {złość, strach, zaskoczenie, krzywda, błąd} - s [Nie zachowuj się jak aferzysta, nic ciekawego nie odkryjesz w tej sprawie.] ##A2: {złość, krzywda, błąd} - s [Jakiś aferzysta rozgłosił wieści, że rzekomo się rozwodzę, na podstawie mojego zdjęcia z siostrą.]
Afganka;1;2;##K: og. ##D: mieszkanka Afganistanu, kobieta pochodzenia afgańskiego.;Afgan;4;2;##K: og. ##D: mieszkaniec Afganistanu, człowiek pochodzenia afgańskiego.
Afganka;1;2;##K: og. ##D: mieszkanka Afganistanu, kobieta pochodzenia afgańskiego.;Afgańczyk;1;2;##K: og. ##D: mieszkaniec Afganistanu, człowiek pochodzenia afgańskiego.
afganolożka;1;2;##K: książk. ##D: naukowczyni, badaczka języka, kultury i historii Afganów i Afganistanu. [##W: Jolanta Sierakowska-Dyndo - polska afganolożka i iranistka, profesor w Zakładzie Iranistyki Uniwersytetu Warszawskiego.];afganolog;1;2;##K: książk. ##D: naukowiec, badacz języka, kultury i historii Afganów i Afganistanu. [##P: W zakładzie mamy jednego afganologa.]
aforystka;1;2;##K:  ##D: . [##P: ] {##L: };aforysta;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Afroamerykanka;1;2;##K: og. ##D: Amerykanka pochodzenia subsaharyjskiego.;Afroamerykanin;1;2;##K: og. ##D: Amerykanin pochodzenia subsaharyjskiego. ##A1: 0
Afrykanerka;2;2;##K: og. ##D: biała mieszkanka Republiki Południowej Afryki oraz Namibii, może żyć również w diasporze w innych krajach Afryki: w Zimbabwe, Lesotho, Suazi, Mozambiku, Angoli, Zambii, Botswanie oraz Kenii, po 1994 roku również w Wielkiej Brytanii, Australii, Kanadzie, Nowej Zelandii, USA, Belgii, Niderlandach, Niemczech, ZEA, na Tajwanie oraz w Gruzji, mówiąca językiem afrikaans i zazwyczaj wyznająca kalwinizm.;Afrykaner;2;2;##K: og. ##D: biały mieszkaniec Republiki Południowej Afryki oraz Namibii, może żyć również w diasporze w innych krajach Afryki: w Zimbabwe, Lesotho, Suazi, Mozambiku, Angoli, Zambii, Botswanie oraz Kenii, po 1994 roku również w Wielkiej Brytanii, Australii, Kanadzie, Nowej Zelandii, USA, Belgii, Niderlandach, Niemczech, ZEA, na Tajwanie oraz w Gruzji, mówiący językiem afrikaans i zazwyczaj wyznający kalwinizm. ##A1: 0
afrykanistka;1;2;##K:  ##D: . [##P: ] {##L: };afrykanista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Afrykanka;1;2;##K: og. ##D: mieszkanka Afryki, kobieta pochodzenia afrykańskiego.;Afrykanin;1;2;##K: og. ##D: mieszkaniec Afryki, człowiek pochodzenia afrykańskiego.
Afrykanka;1;2;##K: og. ##D: mieszkanka Afryki, kobieta pochodzenia afrykańskiego.;Afrykańczyk;1;2;##K: og. ##D: mieszkaniec Afryki, człowiek pochodzenia afrykańskiego.
ageistka;1;2;##K: og. ##D: kobieta uprzedzona do kogoś innego z uwagi na wiek tej osoby, szczególnie starszy. [##P: Nie chcę wyjść na ageistkę, ale pomyśl, ile jej jeszcze zostało do emerytury.];ageista;1;2;##K: og. ##D: człowiek, który jest uprzedzony do kogoś innego z uwagi na wiek tej osoby, szczególnie starszy. [##P: Ale z ciebie ageista, skoro sądzisz, że nie umiem obsługiwać komputera.]
agentka;7;2;##K: og. ##D: przedstawicielka gwiazd sportu, kina, estrady itp.;agent;7;2;##K: og. ##D: osoba zatrudniona przez artystę lub pisarza, zajmująca się jego kontraktami i reklamą, impresario. [##P: Agent Angeliny zaprzecza, jakoby doniesienie to było prawdziwe.] ##A1: 0 ##A2: 0
agentka;2;2;##K: og. ##D: pracownica wywiadu.;agent;1;2;"##K: og. ##D: tajny funkcjonariusz służb wewnętrznych: UOP-u, ABW, SB, FBI, tajnej policji, także Interpolu, cichociemny, tajniak. [##P: Na podstawie rozmów z osobami, które zetknęły się z ""Tomkiem"", dziennik odtworzył, jak agent penetrował interesujące CBA środowiska.]"
agentka;3;2;##K: pot. ##D: numerantka, modelka, zawodniczka.;agent;5;2;##K: pot. ##D: numerant, aparat, agregat, niezłe ziółko, człowiek skłonny do wygłupów lub niecodziennych zachowań. [##P: Swoją drogą też z niego niezły agent, skoro ma dziewczynę a rozgląda się za innymi.] ##A1: {radość, złość, strach, szczęście, nieużyteczność, krzywda, błąd} amb [Kamil to niezły agent, z nim nigdy nie można się nudzić.] [Ale agent! W sierpniu założył czapkę, szalik i rękawiczki.] ##A2:  {radość, złość, strach, szczęście, nieużyteczność, krzywda, błąd} amb [Niezły agent z twojego narzeczonego, taką trudną trasę pokonać w tak krótkim czasie.] [Uważajcie na agenta z 3F, może wam wywinąć niejeden numer na wycieczce.]
agentka;4;2;##K: og. ##D: pracownica wywiadu.;agent;3;2;##K: og. ##D: pracownik wywiadu, szpieg, wywiadowca, informator, który najczęściej działa na terenie obcego kraju. [##P: Agent James Bond, lub jak kto woli agent 007, to najsłynniejszy agent wywiadu na świecie.] {##L: https://pl.wikipedia.org/wiki/Agent_wywiadu}
agentka;6;2;##K: og. ##D: ajentka.;agent;6;2;##K: og. ##D: ajent, przedstawiciel firmy, instytucji handlowej, ubezpieczniowej, bankowej, kredytowej itd. [##P: Na rynku oprócz agentów wyłącznych - działających w imieniu tylko jednego ubezpieczyciela - można także spotkać multiagentów.] ##A1: 0 ##A2: 0
agentka;5;2;##K: środ. ##D: tytuł detektywa w policji w niektórych krajach.;agent;4;2;##K: środ. ##D: w krajach anglojęzycznych: tytuł detektywa w policji. [##P: Do jego zespołu należy agent specjalny Anthony Dinozzo, były detektyw z wydziału zabójstw, który wstąpił do NCIS dopiero przed paroma laty.]
agitatorka;1;2;##K:  ##D: . [##P: ] {##L: };agitator;1;2;##K:  ##D: . [##P: ] {##L: }
agnatka;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0;agnat;1;2;##K: książk. ##D: krewny po mieczu, czyli od strony ojca. ##A1: 0 ##A2: 0
agnostyczka;1;2;##K:  ##D: . [##P: ] {##L: };agnostyk;1;2;##K: og. ##D: człowiek uważający, że niemożliwe jest poznanie Boga, lecz dopuszczający możliwość Jego istnienia. [##W: Jako agnostyk Le Goff zajmował stanowisko pośrednie pomiędzy krytykami i apologetami wieków średnich.]
agorystka;1;2;##K: książk. ##D: kobieta, która promuje agoryzm - lewicowo-libertariańską ideologię. [##P: Gdybym miała się określić pod względem ideologicznym, powiedziałabym, że jestem trochę anarchokapitalistką, a trochę agorystką.];agorysta;1;2;"##K: książk. ##D: człowiek, który promuje agoryzm - lewicowo-libertariańską ideologię. [##W: Głównym celem agorystów jest utworzenie wolnego społeczeństwa, w którym ""wszystkie związki międzyludzkie są dobrowolne"".]"
agregatka;1;2;##K:  ##D: . [##P: ] {##L: };agregat;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: {radość, złość, strach, zaskoczenie, szczęście, nieużyteczność, krzywda, błąd} amb [Będę miło wspominała dzień z tym agregatem.] [Boję się nawet pomyśleć, co ten agregat znowu wymyślił.] ##A2: {radość, złość, strach, zaskoczenie, szczęście, nieużyteczność, krzywda, błąd} amb [Dzięki temu agregatowi podróż minęła nam szybko i wesoło.] [Wychowawca znów wzywa nas do szkoły w sprawie naszego agregata.]
agrochemiczka;1;2;##K:  ##D: . [##P: ] {##L: };agrochemik;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
agronomka;1;2;##K:  ##D: . [##P: ] {##L: };agronom;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
agrotechniczka;1;2;##K:  ##D: . [##P: ] {##L: };agrotechnik;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
ajentka;1;2;##K:  ##D: . [##P: ] {##L: };ajent;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
akademiczka;1;2;##K:  ##D: . [##P: ] {##L: };akademik;4;2;##K: og. ##D: student, reprezentant uczelni w sporcie.
akademiczka;2;2;##K:  ##D: . [##P: ] {##L: };akademik;3;2;##K: og. ##D: przedstawiciel akademizmu - kierunku w sztuce europejskiej. ##A1: 0 ##A2: 0
akcjonariuszka;1;2;##K:  ##D: . [##P: ] {##L: };akcjonariusz;1;2;##K: og. ##D: wspólnik spółki akcyjnej lub spółki komandytowo-akcyjnej będący posiadaczem akcji wyemitowanych przez taką spółkę. [##W: Rozróżnia się dwie kategorie uprawnień akcjonariusza, tj. uprawnienia o charakterze majątkowym oraz uprawnienia o charakterze korporacyjnym.] {##L: http://pl.wikipedia.org/wiki/Akcjonariusz} ##A1: 0 ##A2: 0
akcydensistka;1;2;##K:  ##D: . [##P: ] {##L: };akcydensista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
akolitka;2;2;##K:  ##D: . [##P: ] {##L: };akolita;3;2;##K: specj. ##D: ministrant, który niesie jedną ze świec - tzw. akolitek.
akompaniatorka;1;2;##K:  ##D: . [##P: ] {##L: };akompaniator;1;2;##K:  ##D: . [##P: ] {##L: }
akordeonistka;1;2;##K:  ##D: . [##P: ] {##L: };akordeonista;1;2;##K:  ##D: . [##P: ] {##L: }
akrobatka;1;2;##K:  ##D: . [##P: ] {##L: };akrobata;1;2;##K:  ##D: . [##P: ] {##L: }
aktorka;1;2;##K: og. ##D: kobieta zawodowo zajmująca się aktorstwem - grająca w filmie lub teatrze. [##P: Krystyna Janda jest świetną aktorką.];aktor;1;2;##K: og. ##D: artysta, wykonawca, który odgrywa przedstawienie. [##W: Najliczniej nagrodzonym aktorem dotychczas jest Daniel Day-Lewis, który otrzymał 3 statuetki (1989, 2007 i 2012).] {##L: http://pl.wikipedia.org/wiki/Aktor}
aktorka;3;2;##K: og. ##D: kobieta, która umie stwarzać pozory, udaje, jest pozerką. [##P: Moja przyjaciółka zawsze była cwana i umiała manipulować innymi, ale nie podejrzewałam, że jest aż taką aktorką, która udaje kogoś, kim nie jest!];aktor;2;2;##K: og. ##D: ktoś, czyje zachowanie jest obliczone na zrobienie wrażenia. ##A1: {złość, wstręt, błąd, nieszczęście} - m [Karol cały czas gra szarmanta, żeby spodobać się Aśce, ale nic z tego nie będzie, kiedy ona przekona się, że to taki aktor.] ##A2: {złość, wstręt, błąd} - m [Sama się przekonasz, że to aktor bez krzty rozumu.]
aktualistka;1;2;##K:  ##D: . [##P: ] {##L: };aktualista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
aktywistka;1;2;##K:  ##D: . [##P: ] {##L: };aktywista;1;2;##K: og. ##D: osoba udzielająca się społecznie lub politycznie, człowiek szczególnie aktywny w jakiejś dziedzinie. [##P: Aktywista zdjął koszulkę, wykrzykując m.in. hasło: „F**k Euro”.]  ##A1: {radość, złość, użyteczność, nieużyteczność} amb [Pan Janusz to dobry człowiek i aktywista na rzecz praw człowieka.] [Ten aktywista polityczny to świr!] ##A2: 0
akupunkturzystka;1;2;##K:  ##D: . [##P: ] {##L: };akupunkturzysta;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
akuszerka;1;2;##K:  ##D: . [##P: ] {##L: };akuszer;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
akwaforcistka;1;2;##K:  ##D: . [##P: ] {##L: };akwaforcista;1;2;##K:  ##D: . [##P: ] {##L: }
akwanautka;1;2;##K:  ##D: . [##P: ] {##L: };akwanauta;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
akwarelistka;1;2;##K:  ##D: . [##P: ] {##L: };akwarelista;1;2;##K:  ##D: . [##P: ] {##L: }
akwarystka;1;2;##K:  ##D: . [##P: ] {##L: };akwarysta;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
akwizytorka;1;2;##K:  ##D: . [##P: ] {##L: };akwizytor;1;2;##K: og. ##D: handlarz, który chodzi od domu do domu i oferuje swoje produkty potencjalnym nabywcom. [##P: ] {##L: }
alarmistka;1;2;##K:  ##D: . [##P: ] {##L: };alarmista;1;2;##K: książk. ##D: człowiek panikujący, rozgłaszający złe wiadomości. ##A1: {złość, strach, zaskoczenie, krzywda, błąd} - s [Ależ z ciebie alarmista, przecież nikt jeszcze nawet nie potwierdził, że zamkną naszą klinikę, a ty już trąbisz o tym na prawo i lewo.] ##A2: {złość, krzywda, błąd} - s [Ten przeklęty alarmista już wszystkim rozgadał, że umieram, a okazało się, że jestem przeziębiona.]
Albanka;1;2;##K: og. ##D: mieszkanka Albanii, kobieta pochodzenia albańskiego.;Albańczyk;1;2;##K: og. ##D: mieszkaniec Albanii, człowiek pochodzenia albańskiego.
albertynka;1;2;##K: og. ##D: zakonnica ze zgromadzenia albertynek. [##P: ] {##L: };albertyn;1;2;##K: og. ##D: zakonnik należący do Zgromadzenia Braci Albertynów. [##P: ] {##L: } ##A1: 0 ##A2: 0
albinoska;1;2;##K:  ##D: . [##P: ] {##L: };albinos;1;2;##K: og. ##D: organizm, który ma niedobór (lub całkowity brak) pigmentu w skórze, tworach skórnych, włosach i tęczówce oka (czerwone oczy lub, rzadziej, niebieskawe). ##A1: 0 ##A2: 0
alcistka;1;2;##K:  ##D: . [##P: ] {##L: };alcista;1;2;##K:  ##D: . [##P: ] {##L: }
alergiczka;1;2;##K:  ##D: . [##P: ] {##L: };alergik;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
alfonska;1;2;##K:  ##D: . [##P: ] {##L: };alfons;1;2;##K: pot. ##D: człowiek czerpiący korzyści majątkowe z uprawiania prostytucji przez inną osobę. [##W: Przestępcy trudniący się sutenerstwem nazywani są sutenerami lub potocznie alfonsami.] ##A1: {smutek, złość, krzywda} - s [Alfons zabrał jej prawie wszystko, co zarobiła.] ##A2: {złość, strach, krzywda, nieszczęście} - s [Nie uwierzę, że Krzysiek może być alfonsem, przecież zawsze był takim porządnym facetem.]
Algierka;1;2;##K: og. ##D: mieszkanka Algierii, kobieta pochodzenia algierskiego.;Algierczyk;1;2;##K: og. ##D: mieszkaniec Algierii, człowiek pochodzenia algierskiego.
aliantka;1;2;##K:  ##D: . [##P: ] {##L: };aliant;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
alkoholiczka;1;2;##K:  ##D: . [##P: ] {##L: };alkoholik;1;2;##K: og. ##D: osoba uzależniona od alkoholu. ##A1: 0 ##A2: 0
allegrowiczka;1;2;##K: og. ##D: kobieta, która sprzedaje lub kupuje przedmioty za pośrednictwem serwisu internetowego Allegro. [##P: Jestem nową allegrowiczką, mam dopiero pięć komentarzy.];allegrowicz;1;2;##K: og. ##D: użytkownik (kupiec albo sprzedawca) internetowego serwisu aukcyjnego Allegro. [##P: Ten allegrowicz to zaufany sprzedawca, polecam go wszystkim kupującym.]
alpejka;1;2;##K:  ##D: . [##P: ] {##L: };alpejczyk;1;2;##K:  ##D: . [##P: ] {##L: }
alpinistka;1;2;##K:  ##D: . [##P: ] {##L: };alpinista;1;2;##K: og. {##L: http://pl.wikipedia.org/wiki/Alpinista}
alterglobalistka;1;2;##K:  ##D: . [##P: ] {##L: };alterglobalista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
altowiolinistka;1;2;##K:  ##D: . [##P: ] {##L: };altowiolinista;1;2;##K:  ##D: . [##P: ] {##L: }
altowiolistka;1;2;##K:  ##D: . [##P: ] {##L: };altowiolista;1;2;##K:  ##D: . [##P: ] {##L: }
altruistka;1;2;##K:  ##D: . [##P: ] {##L: };altruista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: {radość, użyteczność, dobro} + s [Stefan był altruistą - zawsze potrafił poświęcić własne interesy dla dobra innych.] ##A2: {radość, użyteczność, dobro} + m [W pewnych sytuacjach wszyscy jesteśmy w pewnym stopniu altruistami.] ##A3: {radość, użyteczność, dobro} + s [Mój ojciec był prawdziwym, staromodnym altruistą.]
altystka;1;2;##K:  ##D: . [##P: ] {##L: };altysta;1;2;##K:  ##D: . [##P: ] {##L: }
alwernianka;1;2;##K: og. ##D: mieszkanka Alwerni.;alwernianin;1;2;##K: og. ##D: mieszkaniec Alwerni.
Alzatka;1;2;##K: og. ##D: kobieta mieszkająca w Alzacji.;Alzatczyk;1;2;##K: og. ##D: mieszkaniec Alzacji.
ałmaatka;1;2;##K: og. ##D: mieszkanka Ałam Aty.;ałmaatczyk;1;2;##K: og. ##D: mieszkaniec Ałma Aty.
