parent_lemma;parent_variant;parent_pos;parent_comment;child_lemma;child_variant;child_pos;child_comment
grupowiczka;1;2;##K: pot. ##D: kobieta należąca do jakiejś grupy, stowarzyszenia. [##P: Na naszej grupie wegetarian na fejsie są dwie nowe grupowiczki z Wrocławia.] [##P: Podczas wycieczki jedna grupowiczka się zgubiła i musieliśmy jej szukać ponad dwie godziny.];grupowicz;1;2;##K: pot. ##D: człowiek, który należy do jakiejś grupy. [##P: Jeden z grupowiczów na wycieczce skręcił kostkę i musieliśmy odwieźć go na ostry dyżur.] [##P: Każdy nowy grupowicz dostaje od administratorów forum pakiet powitalny avatarów.]
Gruzinka;1;2;##K: og. ##D: mieszkanka Gruzji, kobieta pochodzenia gruzińskiego.;Gruzin;1;2;##K: og. ##D: mieszkaniec Gruzji, człowiek pochodzenia gruzińskiego.
gruźliczka;1;2;##K:  ##D: . [##P: ] {##L: };gruźlik;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
grymaśnica;1;2;##K: pot. ##D: kobieta, dziewczyna, która wiecznie marudzi, grymasi, ma chimery (fochy), nic jej się nie podoba. [##P: Dłużej nie wytrzymam z tą grymaśnicą, w żaden sposób jej nie można dogodzić.];grymaśnik;1;2;##K: pot. ##D: osoba, która wiecznie marudzi, grymasi, ma chimery (fochy), nic jej się nie podoba. [##P: Moje dziecko to straszny grymaśnik, nie chce w ogóle jeść.] ##A1: {złość, wstręt, nieużyteczność, błąd} - s [Zjedz chociaż trochę marchewki, grymaśniku, nie można jeść samych zup na mleku.] ##A2: {złość, wstręt, nieużyteczność, błąd} - s [Ale z ciebie grymaśnik, żadna koszula ci się nie podoba.]
grzbiecistka;1;2;##K:  ##D: . [##P: ] {##L: };grzbiecista;1;2;##K:  ##D: . [##P: ] {##L: }
grzesznica;1;2;##K:  ##D: . [##P: ] {##L: };grzesznik;1;2;##K: og. ##D: osoba grzesząca. [##WN: Moim bohaterem jest Jezus Chrystus, który kocha nawet ludzi pogardzanych, także grzeszników seksualnych i prostytutki.] ##A1: {smutek, złość, wstręt, krzywda, błąd} - s [Nie spotykaj się z tym grzesznikiem.] 
Gujanka;1;2;##K: og. ##D: mieszkanka Gujany, kobieta pochodzenia gujańskiego.;Gujańczyk;1;2;##K: og. ##D: mieszkaniec Gujany, człowiek pochodzenia gujańskiego.
guślarka;1;2;##K:  ##D: . [##P: ] {##L: };guślarz;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
guwernantka;1;2;##K:  ##D: . [##P: ] {##L: };guwerner;1;2;##K:  ##D: . [##P: ] {##L: }
guwernerka;1;2;##K:  ##D: . [##P: ] {##L: };guwerner;1;2;##K:  ##D: . [##P: ] {##L: }
gwarantka;1;2;##K:  ##D: . [##P: ] {##L: };gwarant;1;2;##K:  ##D: . [##P: ] {##L: }
Gwatemalka;1;2;##K: og. ##D: mieszkanka Gwatemali, kobieta pochodzenia gwatemalskiego.;Gwatemalczyk;1;2;##K: og. ##D: mieszkaniec Gwatemali, człowiek pochodzenia gwatemalskiego. [##W: W finale zmierzył się z Gwatemalczykiem Carlosem Serrano, przegrywając z nim na punkty.]
Gwinejka;1;2;##K: og. ##D: mieszkanka, obywatelka Gwinei, Gwinei Bissau i Gwinei Równikowej, kobieta pochodzenia gwinejskiego.;Gwinejczyk;1;2;##K: og. ##D: mieszkaniec, obywatel Gwinei, Gwinei Bissau i Gwinei Równikowej, człowiek pochodzenia gwinejskiego.
habilitantka;1;2;##K:  ##D: . [##P: ] {##L: };habilitant;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
hafciarka;1;2;##K:  ##D: . [##P: ] {##L: };hafciarz;1;2;##K:  ##D: . [##P: ] {##L: }
